country,year,region,income_group,pc1,pc2,cluster
Ireland,2022,Europe & Central Asia,High income,2.428647286138888,-0.6515219690268722,3
Ireland,2023,Europe & Central Asia,High income,2.801437406282046,-0.3433140245527833,3
Ireland,2024,Europe & Central Asia,High income,2.7702766987821343,-0.4960524289146903,3
Israel,2010,Middle East & North Africa,High income,-0.7658099799768954,-1.100126888753478,0
Israel,2011,Middle East & North Africa,High income,-0.6118642978182899,-1.1510385526375446,0
Israel,2012,Middle East & North Africa,High income,-0.3720022899397909,-1.0506260953379878,0
Israel,2013,Middle East & North Africa,High income,-0.4850891288101728,-1.1362389577303982,0
Israel,2014,Middle East & North Africa,High income,-0.2745157049652104,-1.1255536305325942,0
Israel,2015,Middle East & North Africa,High income,-0.1782996969124445,-1.3290184752376315,0
Israel,2016,Middle East & North Africa,High income,-0.1161035715565864,-1.5132032522245047,0
Israel,2017,Middle East & North Africa,High income,0.0073955143814531,-1.4640573279059852,0
Israel,2018,Middle East & North Africa,High income,0.1885459536445752,-1.4290175145951485,0
Israel,2019,Middle East & North Africa,High income,0.4594130070588538,-1.5364876935037226,0
Israel,2020,Middle East & North Africa,High income,0.918305011115957,-1.5359325927297554,3
Israel,2021,Middle East & North Africa,High income,0.9978806177781134,-1.6376935057028132,3
Israel,2022,Middle East & North Africa,High income,1.070560707490143,-1.804224754137658,3
Israel,2023,Middle East & North Africa,High income,1.17319503524653,-1.6812640098131415,3
Israel,2024,Middle East & North Africa,High income,1.279077422015285,-1.6894347048632423,3
Italy,2010,Europe & Central Asia,High income,-1.579520331202849,-0.3877953519503919,0
Italy,2011,Europe & Central Asia,High income,-1.5476890418453635,-0.5102614496683178,0
Italy,2012,Europe & Central Asia,High income,-1.2790654432446822,-0.1532776453706117,0
Italy,2013,Europe & Central Asia,High income,-1.2678674997855888,-0.2052990997834218,0
Italy,2014,Europe & Central Asia,High income,-1.2211799225049031,0.036637260100153,0
Italy,2015,Europe & Central Asia,High income,-1.2089090918687082,0.0520639069973564,0
Italy,2016,Europe & Central Asia,High income,-0.9572006891503484,0.1731143561584599,0
Italy,2017,Europe & Central Asia,High income,-0.4898828348406279,0.4045188915845341,0
Italy,2018,Europe & Central Asia,High income,-0.0248690349914072,0.3386086129847732,0
Italy,2019,Europe & Central Asia,High income,-0.0511568324187175,0.5189927931409198,0
Italy,2020,Europe & Central Asia,High income,0.5732355471592927,0.9751188736523196,3
Italy,2021,Europe & Central Asia,High income,0.7097246083408151,0.7759083417781397,3
Italy,2022,Europe & Central Asia,High income,0.9895920400901692,0.6866425088265325,3
Italy,2023,Europe & Central Asia,High income,1.3031746410876488,0.8728954113233381,3
Italy,2024,Europe & Central Asia,High income,0.952316805703999,0.6835747320702976,3
Japan,2010,East Asia & Pacific,High income,0.895045119402472,0.6359253153504573,3
Japan,2011,East Asia & Pacific,High income,1.2951637805610614,0.8996448558170976,3
Japan,2012,East Asia & Pacific,High income,1.743080949841227,1.1892989385644013,3
Japan,2013,East Asia & Pacific,High income,1.6073393303958825,0.9054190441392986,3
Japan,2014,East Asia & Pacific,High income,1.8586922652839504,0.8601818379632972,3
Japan,2015,East Asia & Pacific,High income,1.8921486473730773,0.9909734720228724,3
Japan,2016,East Asia & Pacific,High income,2.274569631775639,1.0683411198269428,3
Japan,2017,East Asia & Pacific,High income,2.32512194910376,1.088050781024346,3
Japan,2018,East Asia & Pacific,High income,2.4565991508698244,1.1930422012455095,3
Japan,2019,East Asia & Pacific,High income,2.542990652947622,1.01239324033431,3
Japan,2020,East Asia & Pacific,High income,3.207664498229367,1.4155274807660547,3
Japan,2021,East Asia & Pacific,High income,3.3045382422100142,1.48108861382032,3
Japan,2022,East Asia & Pacific,High income,3.0167733436901925,1.1795991433382411,3
Japan,2023,East Asia & Pacific,High income,3.1243470810605425,1.123686706222058,3
Japan,2024,East Asia & Pacific,High income,2.936092626259741,1.0461475499283623,3
Mexico,2010,Latin America & Caribbean,Upper middle income,-4.417058996188477,0.6642377860606934,2
Mexico,2011,Latin America & Caribbean,Upper middle income,-4.20424852383454,0.5688878445131594,2
Mexico,2012,Latin America & Caribbean,Upper middle income,-4.1174626941515164,0.480802235201692,2
Mexico,2013,Latin America & Caribbean,Upper middle income,-3.98889290321572,0.4787858097909879,2
Mexico,2014,Latin America & Caribbean,Upper middle income,-3.940450758152206,0.44681272950262,2
Mexico,2015,Latin America & Caribbean,Upper middle income,-3.5418344869376206,0.5740754494667597,2
Mexico,2016,Latin America & Caribbean,Upper middle income,-3.5448066090708816,0.3404298048902234,2
Mexico,2017,Latin America & Caribbean,Upper middle income,-3.5899951774510743,0.4121091603780606,2
Mexico,2018,Latin America & Caribbean,Upper middle income,-3.406439376119118,0.2795998823201355,2
Mexico,2019,Latin America & Caribbean,Upper middle income,-3.200939269507833,0.0965863631898425,2
Mexico,2020,Latin America & Caribbean,Upper middle income,-3.1196002426552862,0.156601280937136,2
Mexico,2021,Latin America & Caribbean,Upper middle income,-3.0521813104407443,0.0058011255513519,2
Mexico,2022,Latin America & Caribbean,Upper middle income,-2.9606775386311717,-0.1645986261015864,2
Mexico,2023,Latin America & Caribbean,Upper middle income,-2.836712081744872,-0.3455796722219269,2
Mexico,2024,Latin America & Caribbean,Upper middle income,-2.7634330790629034,-0.3307234008809974,2
Netherlands,2010,Europe & Central Asia,High income,0.2219762889395254,-0.7728875089313977,0
Netherlands,2011,Europe & Central Asia,High income,0.3273265858214067,-1.1615798116340097,0
Netherlands,2012,Europe & Central Asia,High income,0.3364999180901539,-1.3849789937715675,0
Netherlands,2013,Europe & Central Asia,High income,0.93619547627903,-0.9862164632203838,3
Netherlands,2014,Europe & Central Asia,High income,0.9831184331149576,-0.7810574235345047,3
Netherlands,2015,Europe & Central Asia,High income,0.9700225649465162,-0.889657899879782,3
Netherlands,2016,Europe & Central Asia,High income,1.1136192941358127,-0.7462069488989728,3
Netherlands,2017,Europe & Central Asia,High income,1.423486207503333,-0.6966299422706473,3
Netherlands,2018,Europe & Central Asia,High income,1.9515332672719672,-0.2917825749374557,3
Netherlands,2019,Europe & Central Asia,High income,2.301390409385518,-0.0933498398489203,3
Netherlands,2020,Europe & Central Asia,High income,2.3285243445664885,-0.0714081675487854,3
Netherlands,2021,Europe & Central Asia,High income,2.3779213313156053,-0.2077396754247857,3
Netherlands,2022,Europe & Central Asia,High income,2.143106924611732,-0.4131290876425666,3
Netherlands,2023,Europe & Central Asia,High income,2.724972356339746,-0.1320388997948086,3
Netherlands,2024,Europe & Central Asia,High income,2.521402836739214,-0.234972363628247,3
New Zealand,2010,East Asia & Pacific,High income,-0.786556409890347,-1.3543527011178405,0
New Zealand,2011,East Asia & Pacific,High income,-1.091852799874594,-1.9128245689814931,0
New Zealand,2012,East Asia & Pacific,High income,-1.0041152274521,-1.9194459782742033,0
New Zealand,2013,East Asia & Pacific,High income,-0.7986642364006998,-1.8557165020877129,0
New Zealand,2014,East Asia & Pacific,High income,-0.8118396474311995,-2.0467598200085675,0
New Zealand,2015,East Asia & Pacific,High income,-0.6930632252091558,-2.1369753275185146,0
New Zealand,2016,East Asia & Pacific,High income,-0.4091167252925556,-1.9196189702348856,0
New Zealand,2017,East Asia & Pacific,High income,-0.3330819754784071,-1.9237797588357592,0
New Zealand,2018,East Asia & Pacific,High income,-0.0717622935016297,-1.8113143123490767,0
New Zealand,2019,East Asia & Pacific,High income,-0.1336380308315304,-1.93121058168675,0
New Zealand,2020,East Asia & Pacific,High income,-0.101010133018444,-1.9646968890787893,0
New Zealand,2021,East Asia & Pacific,High income,-0.0576277849667331,-2.046083708335463,0
New Zealand,2022,East Asia & Pacific,High income,-0.0994672775737235,-2.0293494791345954,0
New Zealand,2023,East Asia & Pacific,High income,0.1400463865822604,-1.96788835425574,0
New Zealand,2024,East Asia & Pacific,High income,-0.2335037545565098,-2.18230151263976,0
Poland,2010,Europe & Central Asia,High income,-2.192357686348651,-0.2621216043814821,0
Poland,2011,Europe & Central Asia,High income,-2.131199879654175,-0.3640873966830212,0
Poland,2012,Europe & Central Asia,High income,-1.8220125081827336,-0.2412325634547276,0
Poland,2013,Europe & Central Asia,High income,-1.9609794586326292,-0.4873821896188365,0
Poland,2014,Europe & Central Asia,High income,-1.8389735416645352,-0.4988963312819524,0
Poland,2015,Europe & Central Asia,High income,-1.4069216949070438,0.04962210860607,0
Poland,2016,Europe & Central Asia,High income,-0.9817754470498902,0.1707060699725254,0
Poland,2017,Europe & Central Asia,High income,-0.8158852068183754,0.0780518028853988,0
Poland,2018,Europe & Central Asia,High income,-0.6681203587677248,0.0180684212347731,0
Poland,2019,Europe & Central Asia,High income,-0.548034620073029,-0.2578268040021943,0
Poland,2020,Europe & Central Asia,High income,-0.3140315980205815,-0.2770901491074061,0
Poland,2021,Europe & Central Asia,High income,0.3993433167446757,0.0786585878491656,3
Poland,2022,Europe & Central Asia,High income,0.3319398363781061,-0.0931692778282738,3
Poland,2023,Europe & Central Asia,High income,0.5260013777347439,-0.099092644146918,3
Poland,2024,Europe & Central Asia,High income,1.0794303797873213,0.3074131079631033,3
Saudi Arabia,2010,Middle East & North Africa,High income,-3.3368951735084456,-1.416019462438829,0
Saudi Arabia,2011,Middle East & North Africa,High income,-3.0579244912968755,-1.5193716936421051,0
Saudi Arabia,2012,Middle East & North Africa,High income,-2.7724275238157885,-1.603673466314929,0
Saudi Arabia,2013,Middle East & North Africa,High income,-2.457021241014685,-1.4557973179940666,0
Saudi Arabia,2014,Middle East & North Africa,High income,-2.2038370140009804,-1.4070525136621013,0
Saudi Arabia,2015,Middle East & North Africa,High income,-1.8354428579202369,-1.0088107298325055,0
Saudi Arabia,2016,Middle East & North Africa,High income,-1.7671680842114217,-0.98925243904973,0
Saudi Arabia,2017,Middle East & North Africa,High income,-1.293320250471692,-0.9205428192625276,0
Saudi Arabia,2018,Middle East & North Africa,High income,-1.2015602862520072,-1.1365782330630492,0
Saudi Arabia,2019,Middle East & North Africa,High income,-0.7323172634754384,-0.9903608689797604,0
Saudi Arabia,2020,Middle East & North Africa,High income,-0.598594081652604,-0.7775942895694844,0
Saudi Arabia,2021,Middle East & North Africa,High income,-0.1128494777672738,-0.5768097721969293,0
Saudi Arabia,2022,Middle East & North Africa,High income,-0.1064735982583608,-0.5770636287323586,0
Saudi Arabia,2023,Middle East & North Africa,High income,0.2885722055573079,-0.6000330754634166,0
Saudi Arabia,2024,Middle East & North Africa,High income,0.5927480677556367,-0.4312491376367199,3
Singapore,2010,East Asia & Pacific,High income,0.367584603013693,-2.4237161648485315,0
Singapore,2011,East Asia & Pacific,High income,0.5894074503894379,-2.397277764939901,0
